Wed Apr 28 19:38:37 2021,45,0,1.98,-4.37,-4.99,-1.72,0.1,-3.52,0
Wed Apr 28 19:38:38 2021,46,0,0.5,-5.67,-4.91,-4.6,-6.78,-0.54,0
Wed Apr 28 19:38:39 2021,47,0,0.98,-5.86,-4.71,-11.44,-16.04,-5.14,0
Wed Apr 28 19:38:40 2021,48,0,1.35,-6.27,-4.23,-5.96,-5.04,21.49,0
Wed Apr 28 19:38:41 2021,49,0,1.37,-5.67,-4.39,-3.12,9.31,10.78,0
Wed Apr 28 19:38:42 2021,50,0,1.75,-4.79,-5.32,-1.22,-2.41,-21.03,0
Wed Apr 28 19:38:45 2021,52,0,1.54,-6.14,-4.56,-0.26,-2.36,20.4,0
Wed Apr 28 19:38:45 2021,53,0,2.01,-4.85,-5.14,8.26,4.73,-2.43,0
Wed Apr 28 19:38:46 2021,54,0,0.85,-5.89,-5.62,-8.12,-12.43,-21.33,0
Wed Apr 28 19:38:47 2021,55,0,0.79,-6.26,-4.26,-13.08,6.39,12.77,0
Wed Apr 28 19:38:48 2021,56,0,1.72,-5.38,-5.04,2.69,4.63,-20.83,0
Wed Apr 28 19:38:49 2021,57,0,0.71,-6.01,-5.61,-44.23,-4.31,-25.83,0
Wed Apr 28 19:38:56 2021,62,0,1.33,-0.99,-7.26,9.37,8.69,3.95,2
Wed Apr 28 19:38:56 2021,63,0,1.19,-1.07,-6.8,-7.07,-3.35,-1.97,2
Wed Apr 28 19:38:57 2021,64,0,1.29,-1.06,-6.97,-7.21,-2.96,-0.01,2
Wed Apr 28 19:38:58 2021,65,0,1.16,-0.9,-6.93,-5.95,-3.75,0.62,2
Wed Apr 28 19:38:59 2021,66,0,1.12,-0.86,-6.89,-5.57,-1.95,0.93,2
Wed Apr 28 19:39:00 2021,67,0,1.05,-0.84,-7.02,-6.88,-2.43,1.31,2
Wed Apr 28 19:39:01 2021,68,0,1.14,-0.76,-6.97,-3.44,1.45,5.99,2
Wed Apr 28 19:39:02 2021,69,0,1.03,-0.79,-6.94,-2.55,-1.45,0.5,2
Wed Apr 28 19:39:03 2021,70,0,1.15,-0.78,-7.01,-4.82,-1.89,0.09,2
Wed Apr 28 19:39:04 2021,71,0,1.08,-0.74,-6.99,-6.08,-2.73,0.85,2
Wed Apr 28 19:39:05 2021,72,0,1.12,-0.75,-7,-6.36,-3.71,-0.48,2
Wed Apr 28 19:39:06 2021,73,0,1.01,-0.84,-6.99,-6.69,-3.07,0.57,2
Wed Apr 28 19:39:07 2021,74,0,1.03,-0.89,-6.95,-5.53,-2.21,1.66,2
Wed Apr 28 19:39:08 2021,75,0,1.02,-0.79,-7.02,-5.44,-1.21,1.02,2
Wed Apr 28 19:39:09 2021,76,0,1.01,-0.81,-6.96,-5.05,-1.73,1.31,2
Wed Apr 28 19:39:10 2021,77,0,1.1,-0.69,-7,-4.31,-2.88,-0.05,2
Wed Apr 28 19:39:11 2021,78,0,1.01,-0.63,-7.03,-4.39,-1.12,1.21,2
Wed Apr 28 19:39:12 2021,79,0,0.99,-0.7,-6.96,-6.11,-1.79,-0.18,2
Wed Apr 28 19:39:13 2021,80,0,0.86,-0.47,-7.09,-5.02,-3.21,0.71,2
Wed Apr 28 19:39:14 2021,81,0,1.16,-0.48,-7.1,-9.18,-2.82,2.41,2
Wed Apr 28 19:39:15 2021,82,0,1.12,-0.39,-7.14,-5.55,-2.26,-0.15,2
Wed Apr 28 19:39:16 2021,83,0,0.92,-0.41,-6.95,-4.49,-6.59,-5.77,2
Wed Apr 28 19:39:17 2021,84,0,0.96,-0.26,-7.05,-9.73,-5.82,-2.48,2
Wed Apr 28 19:39:18 2021,85,0,0.83,-0.31,-7,-4.4,0.08,2.47,2
Wed Apr 28 19:39:19 2021,86,0,1.11,-0.58,-7.25,-8.01,-4.1,0.39,2
Wed Apr 28 19:39:20 2021,87,0,2.27,-4.77,-6.64,7.2,4.2,7.18,0
Wed Apr 28 19:39:21 2021,88,0,2.19,-4.55,-6.55,-31.96,-18.08,-16.88,0
Wed Apr 28 19:39:22 2021,89,0,1.07,-5.96,-4.77,-10.28,9.73,18.71,0
Wed Apr 28 19:39:23 2021,90,0,1.85,-4.9,-4.78,-2.26,8.8,17.12,0
Wed Apr 28 19:39:25 2021,91,0,1.9,-4.53,-5.39,6.05,0.27,-13.31,0
Wed Apr 28 19:39:26 2021,92,0,0.99,-6.97,-4.78,-3.53,-21.5,-24.74,0
Wed Apr 28 19:39:27 2021,93,0,1.72,-6.72,-3.49,-19.75,-3.05,26.18,0
Wed Apr 28 19:39:28 2021,94,0,1.97,-5.73,-4.12,-2.18,6.78,17.32,0
Wed Apr 28 19:39:29 2021,95,0,2.18,-5.61,-4.97,5.62,-1.7,-30.25,0
Wed Apr 28 19:39:30 2021,96,0,2.05,-6.74,-3.53,-19.58,-8.69,-3.23,0
Wed Apr 28 19:39:31 2021,97,0,2.32,-6.36,-3.62,-7.5,9.6,21.12,0
Wed Apr 28 19:39:32 2021,98,0,2.65,-5.18,-4.82,12.58,-5.71,-15.65,0
Wed Apr 28 19:39:33 2021,99,0,1.23,-6.53,-4.62,-11.37,-5.97,-4.6,0
Wed Apr 28 19:39:34 2021,100,0,2.17,-6.53,-3.74,-7.63,3.58,32.4,0
Wed Apr 28 19:39:35 2021,101,0,2.46,-4.79,-5.09,10.82,-0.65,-9.66,0
Wed Apr 28 19:39:36 2021,102,0,0.72,-5.87,-5.09,-5.81,-14.34,-19.66,0
Wed Apr 28 19:39:37 2021,103,0,1.6,-6.35,-3.66,-11.78,4.34,26.56,0
Wed Apr 28 19:39:38 2021,104,0,2.12,-5.56,-4.01,-1.46,8.65,3.5,0
Wed Apr 28 19:39:39 2021,105,0,1.84,-5.59,-5.2,6.31,-15.72,-22.67,0
